,property_type,district,land_m2,property_m2,year,unit_level,freehold,price_m2,mall_count,school_count,park_count,river_count,lake_count,rail_station_count,incoming_ridership_within_1km,outgoing_ridership_within_1km,total_ridership_within_1km,walk_dist_to_mall,walk_dist_to_school,walk_dist_to_park,walk_dist_to_river,walk_dist_to_lake,walk_dist_to_rail_station,dist_to_mall,dist_to_school,dist_to_park,dist_to_river,dist_to_lake,dist_to_rail_station,transit,market_cluster_id
53659,condominium/apartment,hulu langat,73.0,73.0,2024,3,1,2328.77,1,2,3,1,2,0,0,0,0,1.714,0.771,0.01,1.024,1.243,13.727,1.501,1.259,0.01,0.726,1.37,13.797,0,HU_032
20327,condominium/apartment,petaling,81.0,81.0,2023,1,1,4444.44,7,4,2,0,0,1,73842,66416,140258,0.879,0.615,0.645,3.797,2.571,1.544,0.932,0.673,0.298,5.066,3.722,2.592,1,PE_076
2549,2 - 2 1/2 storey terraced,petaling,339.92,184.0,2024,0,1,14673.91,2,10,2,1,0,2,0,0,0,1.222,0.276,1.377,2.891,1.377,1.294,1.21,0.139,1.201,3.537,1.456,1.332,1,PE_070
36742,condominium/apartment,petaling,79.52,79.52,2023,13,0,3646.88,4,10,5,1,0,0,0,0,0,0.943,0.6,0.087,2.97,5.794,2.788,0.858,0.969,0.0,3.891,4.853,7.036,1,PE_077
61647,2 - 2 1/2 storey terraced,klang,143.0,130.06,2024,0,1,6827.62,0,1,1,2,1,0,0,0,0,3.142,1.544,1.608,2.692,2.044,9.911,1.601,0.454,1.023,3.725,1.038,10.575,0,KL_063
35478,flat,petaling,66.0,66.0,2024,3,0,4090.91,8,4,4,5,0,2,52608,104389,156997,0.35,0.68,0.597,1.589,9.949,1.453,0.0,0.979,0.402,2.258,9.896,1.499,1,PE_068
53799,flat,sepang,73.85,73.85,2024,3,0,2301.96,6,1,0,1,3,0,0,0,0,0.765,0.935,4.59,6.472,1.511,9.165,0.765,1.134,4.823,6.298,1.48,10.765,0,SE_105
55782,flat,gombak,79.0,79.0,2024,0,1,3607.59,2,4,0,2,0,0,0,0,0,1.207,0.249,1.758,0.771,3.934,15.422,1.391,0.279,1.903,0.738,4.11,22.643,0,GO_004
57395,1 - 1 1/2 storey semi-detached,klang,269.0,175.0,2024,0,1,2851.43,0,2,0,2,0,0,0,0,0,2.318,0.739,7.915,1.622,14.469,17.604,2.363,1.139,8.292,1.622,15.074,17.06,0,KL_069
1824,2 - 2 1/2 storey semi-detached,hulu langat,297.3,297.0,2023,0,1,8272.73,0,1,2,1,0,0,0,0,0,2.077,0.786,0.134,3.646,9.543,4.809,5.057,5.371,4.795,6.19,6.368,6.788,1,HU_011
8857,flat,kuala lumpur,5.1,5.1,2024,2,0,35294.12,1,5,3,1,1,0,0,0,0,2.143,0.364,1.647,4.832,5.743,4.961,0.265,0.265,0.265,1.114,0.265,5.641,1,KU_033
16790,condominium/apartment,petaling,95.0,95.0,2023,4,0,5789.47,8,3,7,1,0,2,308595,278287,586882,0.727,1.074,1.64,2.614,2.641,0.743,7.322,7.903,16.23,11.976,12.97,18.926,1,PE_070
60341,2 - 2 1/2 storey terraced,hulu langat,134.0,130.0,2024,0,0,3461.54,0,0,2,0,0,0,0,0,0,2.697,1.938,1.638,5.426,7.632,5.619,2.767,2.284,2.133,6.079,7.794,7.484,0,HU_031
38482,1 - 1 1/2 storey semi-detached,kuala langat,211.41,83.0,2023,0,0,5481.93,3,0,0,0,0,0,0,0,0,3.676,3.916,13.387,4.615,10.176,13.465,7.118,8.549,8.44,8.108,10.692,24.44,0,KU_009
6211,2 - 2 1/2 storey terraced,kuala lumpur,57.0,55.0,2023,0,1,6363.64,4,11,8,0,0,1,261355,251523,512878,0.896,0.173,0.57,1.977,2.051,0.435,0.781,0.215,0.57,1.989,2.537,0.435,1,KU_034
60512,2 - 2 1/2 storey terraced,gombak,379.0,379.0,2024,0,0,2936.68,2,0,1,2,2,0,0,0,0,0.921,2.225,0.452,2.713,1.447,21.033,0.83,2.171,0.395,2.738,1.071,33.379,0,GO_004
7325,2 - 2 1/2 storey semi-detached,petaling,228.0,177.0,2024,0,0,5581.92,4,4,4,0,0,1,0,0,0,0.699,0.627,0.448,3.467,2.868,0.95,1.484,1.542,0.625,4.16,3.711,1.972,1,PE_064
21212,condominium/apartment,petaling,91.84,91.84,2023,11,1,4224.74,1,4,14,0,2,0,0,0,0,1.029,0.52,0.219,2.33,1.943,2.386,0.843,0.245,0.144,1.613,0.702,2.88,1,PE_076
33013,condominium/apartment,kuala lumpur,11.8,11.8,2023,12,1,39830.51,7,8,5,0,1,1,152074,138087,290161,1.311,1.434,1.472,2.642,1.472,1.58,0.649,0.624,1.024,1.58,1.024,1.727,1,KU_034
19802,town house,kuala lumpur,149.0,149.0,2023,3,1,6845.64,2,5,2,0,0,1,41736,43710,85446,1.297,1.157,1.021,3.065,3.715,1.672,1.616,1.475,1.516,3.334,4.338,2.453,1,KU_029
9038,flat,kuala lumpur,5.2,5.2,2024,2,0,40384.62,7,23,2,2,1,5,315184,347219,662403,0.512,0.351,1.62,0.441,1.537,0.22,0.525,0.009,1.763,1.722,1.642,0.348,1,KU_030
26652,condominium/apartment,petaling,121.97,121.97,2023,15,0,4968.43,13,3,7,2,0,3,125646,126645,252291,0.676,0.796,0.359,2.961,4.469,1.274,0.755,2.0,0.588,1.56,6.994,2.178,1,PE_066
38457,1 - 1 1/2 storey semi-detached,kuala langat,344.0,130.0,2023,0,1,5615.38,0,2,3,1,0,0,0,0,0,1.424,1.074,0.135,9.257,12.567,13.465,1.424,1.075,0.135,8.299,14.238,24.44,0,KU_006
67022,condominium/apartment,sepang,158.0,158.0,2023,1,1,2879.75,0,1,12,0,0,0,0,0,0,5.365,3.21,0.185,17.971,4.481,7.079,2.329,1.447,0.355,4.21,3.086,6.022,0,SE_100
59261,1 - 1 1/2 storey terraced,sabak bernam,111.0,63.0,2024,0,0,3650.79,1,0,0,1,0,0,0,0,0,0.988,1.49,1.66,1.453,5.77,1.31,1.2,1.843,1.992,1.636,5.734,2.319,0,SA_091
66622,2 - 2 1/2 storey terraced,petaling,198.0,164.7,2023,0,1,6187.01,1,4,3,0,0,0,0,0,0,3.823,1.797,1.483,4.743,4.088,11.182,5.048,2.191,1.467,4.786,5.26,13.44,0,PE_014
23417,low-cost flat,petaling,54.0,54.0,2023,2,0,2314.81,5,6,8,3,2,2,141610,128728,270338,0.516,0.963,0.2,2.146,1.451,1.077,0.231,0.905,0.013,1.861,1.184,1.002,1,PE_065
9792,low-cost flat,hulu langat,56.51,56.51,2023,3,0,2406.65,8,9,5,3,0,0,0,0,0,0.67,0.366,1.136,0.925,5.824,2.566,0.67,0.383,1.164,0.925,5.861,2.756,1,HU_012
17012,condominium/apartment,hulu langat,80.64,80.64,2024,1,0,4092.26,4,10,17,0,0,0,0,0,0,0.283,0.954,0.148,2.415,8.576,2.068,0.281,0.879,0.148,2.492,8.655,2.085,1,HU_011
9135,low-cost flat,petaling,61.0,61.0,2024,15,0,3524.59,10,5,10,4,0,3,151438,144930,296368,0.076,0.693,0.381,1.156,2.3,0.302,0.102,0.043,0.043,1.111,2.498,0.57,1,PE_062
17271,condominium/apartment,kuala lumpur,8.2,8.2,2023,15,0,82317.07,6,3,4,1,1,1,0,29416,29416,0.778,1.954,2.235,3.436,3.79,3.901,0.705,1.558,2.924,2.723,3.204,3.61,1,KU_048
110,1 - 1 1/2 storey terraced,hulu langat,121.0,65.0,2023,0,0,5538.46,3,7,1,6,0,1,60280,57630,117910,1.217,0.623,1.437,0.829,2.989,0.271,1.689,0.396,1.823,0.953,3.251,0.235,1,HU_010
39072,2 - 2 1/2 storey terraced,hulu selangor,187.0,116.0,2024,0,0,2758.62,1,1,0,1,0,0,0,0,0,1.255,1.599,7.646,3.238,6.773,21.0,1.314,1.802,7.911,3.37,6.996,28.143,0,HU_048
53247,2 - 2 1/2 storey terraced,petaling,173.0,130.0,2024,0,1,6769.23,2,0,5,0,0,0,0,0,0,1.207,2.269,2.372,7.75,4.813,9.005,1.409,2.661,2.603,9.313,4.529,9.906,0,PE_014
3711,2 - 2 1/2 storey terraced,hulu langat,132.0,132.0,2023,0,1,6621.21,1,5,3,0,0,0,0,0,0,2.053,1.263,0.29,3.427,5.502,3.471,2.173,1.302,0.351,3.427,5.142,4.832,1,HU_011
14912,detached,kuala lumpur,371.6,139.0,2023,0,0,4028.78,0,12,4,0,1,0,0,0,0,2.421,0.707,1.133,3.208,2.667,3.781,2.449,0.503,0.888,2.244,2.804,4.085,1,KU_041
19342,low-cost house,klang,87.0,77.0,2023,0,1,5844.16,4,0,8,0,0,0,0,0,0,0.822,1.977,0.285,2.533,4.901,4.955,0.744,1.773,0.19,2.514,6.335,4.885,1,KL_018
54554,detached,klang,654.0,330.0,2023,0,0,10769.7,1,0,2,2,0,0,0,0,0,0.991,1.582,0.29,2.696,3.161,11.77,0.972,1.453,0.29,2.755,3.156,11.839,0,KL_057
67890,1 - 1 1/2 storey terraced,kuala langat,139.0,81.0,2025,0,1,4320.99,6,3,3,0,0,0,0,0,0,0.352,0.53,0.283,3.363,14.872,13.465,0.277,0.602,0.465,3.892,13.989,24.44,0,KU_007
45221,2 - 2 1/2 storey terraced,klang,151.0,134.0,2023,0,1,3582.09,6,1,7,0,0,0,0,0,0,0.576,0.976,0.365,2.782,4.132,5.415,0.99,1.127,0.352,2.902,6.764,5.381,0,KL_061
50203,low-cost flat,hulu langat,60.0,60.0,2023,2,1,1616.67,6,3,9,0,0,0,0,0,0,0.345,1.164,0.55,1.596,2.943,11.31,0.392,1.101,0.315,1.85,3.178,11.664,0,HU_022
6232,2 - 2 1/2 storey terraced,kuala lumpur,234.0,139.0,2023,0,1,7194.24,5,6,8,7,0,0,0,0,0,0.623,0.647,0.691,0.446,2.749,2.371,0.894,0.648,0.799,0.452,2.427,3.583,1,KU_041
62979,2 - 2 1/2 storey terraced,petaling,297.76,126.0,2023,0,0,7079.37,3,1,10,3,1,0,0,0,0,1.044,1.274,0.27,2.256,1.581,5.103,0.887,0.246,0.0,2.294,1.426,6.211,0,PE_019
61768,2 - 2 1/2 storey terraced,klang,284.0,192.0,2024,0,1,6145.83,2,1,2,4,0,0,0,0,0,0.507,1.687,1.093,0.866,4.321,9.552,9.502,8.851,15.529,13.461,21.018,22.646,0,KL_070
47089,2 - 2 1/2 storey terraced,hulu selangor,130.0,125.0,2023,0,1,2720.0,1,0,3,0,0,0,0,0,0,0.406,2.794,0.223,3.402,3.611,21.0,0.406,2.756,0.222,3.46,3.611,28.143,0,HU_051
60874,2 - 2 1/2 storey terraced,hulu langat,147.0,120.77,2024,0,0,4347.11,3,3,5,3,2,0,0,0,0,1.584,1.577,0.894,1.604,2.377,7.688,0.74,1.203,0.856,0.859,1.737,6.474,0,HU_026
53329,2 - 2 1/2 storey terraced,petaling,374.0,234.0,2024,0,1,7675.21,0,2,2,0,0,0,0,0,0,1.494,1.114,0.976,6.349,3.411,9.79,1.708,0.967,1.806,8.294,3.2,10.84,0,PE_014
17063,condominium/apartment,kuala lumpur,8.1,8.1,2023,2,0,34567.9,9,10,2,2,2,2,0,36382,36382,0.948,0.907,1.481,0.953,1.971,0.632,1.141,0.977,1.693,1.301,1.488,1.261,1,KU_038
58688,1 - 1 1/2 storey terraced,kuala langat,252.0,77.0,2024,0,1,6064.94,1,1,0,0,0,0,0,0,0,1.034,1.137,6.616,6.419,10.682,13.465,1.381,1.206,6.994,5.031,12.083,24.44,0,KU_006
53383,2 - 2 1/2 storey terraced,petaling,136.0,109.0,2024,0,0,5963.3,1,1,3,0,1,0,0,0,0,3.549,4.397,0.848,6.045,1.503,7.008,3.516,4.649,1.014,7.363,0.947,7.002,0,PE_014
5579,2 - 2 1/2 storey terraced,kuala lumpur,458.0,352.0,2023,0,0,5681.82,7,3,7,3,3,0,0,0,0,0.787,1.385,0.714,1.71,1.271,1.862,0.584,0.992,0.314,1.256,1.444,1.759,1,KU_038
28817,condominium/apartment,kuala lumpur,9.3,9.3,2023,31,0,53655.91,5,5,4,2,0,2,123185,104458,227643,0.543,0.559,0.782,1.297,3.806,0.654,0.332,0.07,1.409,1.607,5.914,0.48,1,KU_037
2310,condominium/apartment,petaling,80.0,80.0,2023,10,0,4625.0,7,6,3,2,0,1,120804,126100,246904,0.059,0.564,0.291,1.031,1.827,0.948,0.1,0.476,0.18,1.2,2.355,0.869,1,PE_067
24677,2 - 2 1/2 storey terraced,kuala lumpur,143.0,141.0,2024,0,1,5638.3,4,8,1,0,1,0,0,0,0,0.47,0.17,1.706,2.3,1.513,1.458,0.47,0.098,2.276,2.769,1.059,1.494,1,KU_043
40624,1 - 1 1/2 storey terraced,kuala langat,289.09,139.0,2023,0,0,3453.24,0,0,0,0,0,0,0,0,0,3.242,3.35,4.047,10.552,3.905,13.465,3.31,3.11,4.057,10.839,5.107,24.44,0,KU_006
57595,1 - 1 1/2 storey semi-detached,sepang,244.0,99.0,2024,0,1,4343.43,8,2,3,0,0,0,0,0,0,0.852,0.997,1.675,5.628,3.186,17.175,0.779,1.421,1.468,5.924,2.898,19.049,0,SE_101
21391,condominium/apartment,petaling,127.0,127.0,2024,24,1,8196.85,3,4,10,0,1,0,0,0,0,1.314,1.071,1.373,3.429,2.203,2.247,2.118,1.622,1.592,4.086,2.99,3.856,1,PE_076
3935,2 - 2 1/2 storey terraced,petaling,163.5,137.0,2024,0,1,9489.05,7,5,10,1,0,1,81639,74501,156140,0.848,0.227,0.743,3.835,4.436,1.806,0.574,0.368,0.448,4.31,4.208,1.493,1,PE_067
9573,flat,kuala lumpur,5.6,5.6,2023,2,1,35714.29,19,21,5,0,1,5,1282823,1103682,2386505,0.17,0.134,0.483,2.693,1.49,0.688,0.162,0.199,0.419,3.035,1.922,0.63,1,KU_044
40436,1 - 1 1/2 storey terraced,kuala langat,121.71,79.0,2023,0,0,5000.0,3,2,0,0,0,0,0,0,0,0.675,0.497,6.187,6.697,9.364,13.465,0.83,0.405,6.349,5.358,10.637,24.44,0,KU_006
53657,condominium/apartment,hulu langat,73.0,73.0,2024,4,1,2465.75,1,2,3,1,2,0,0,0,0,1.714,0.771,0.01,1.024,1.243,13.727,1.501,1.259,0.01,0.726,1.37,13.797,0,HU_032
65566,flat,hulu selangor,67.3,67.3,2024,2,1,1560.18,1,2,0,7,1,0,0,0,0,1.145,0.412,5.294,1.279,1.984,21.0,1.283,0.215,5.365,1.291,3.023,28.143,0,HU_039
3702,2 - 2 1/2 storey terraced,hulu langat,198.0,134.0,2023,0,1,3544.78,4,4,1,27,0,0,0,0,0,0.409,0.514,1.068,0.136,5.484,1.451,0.573,1.148,1.145,0.22,5.54,1.511,1,HU_010
441,1 - 1 1/2 storey terraced,petaling,120.77,77.0,2023,0,1,9675.32,4,5,6,1,0,0,0,0,0,0.625,0.823,0.504,3.592,3.998,1.246,0.646,0.846,0.674,3.708,4.705,1.99,1,PE_070
45966,2 - 2 1/2 storey terraced,kuala selangor,130.0,88.0,2023,0,0,3522.73,2,0,4,0,0,0,0,0,0,2.069,2.229,0.226,8.445,23.077,21.0,2.099,2.528,0.489,8.272,23.874,21.0,0,KU_078
39192,low-cost house,hulu selangor,134.0,91.0,2024,0,1,3494.51,2,3,0,2,1,0,0,0,0,0.056,0.498,3.04,1.298,2.432,21.0,0.186,0.771,3.015,1.148,2.454,28.143,0,HU_043
21093,1 - 1 1/2 storey terraced,kuala lumpur,133.0,93.0,2024,0,1,6182.8,3,12,4,1,0,2,433023,424632,857655,0.346,1.051,0.252,2.122,1.934,1.115,0.392,1.306,0.533,2.354,1.972,1.626,1,KU_034
28358,condominium/apartment,kuala lumpur,9.1,9.1,2023,20,1,53626.37,4,3,1,3,0,4,357462,458757,816219,0.817,0.517,1.648,0.304,2.284,0.695,0.811,0.465,1.596,1.905,3.399,1.051,1,KU_044
47944,1 - 1 1/2 storey terraced,hulu selangor,138.0,70.0,2025,0,0,3571.43,1,2,0,5,0,0,0,0,0,0.345,0.941,7.067,0.648,6.038,21.0,0.37,0.684,7.223,0.66,4.162,28.143,0,HU_046
35275,condominium/apartment,kuala lumpur,14.6,14.6,2024,27,1,46575.34,5,3,6,2,0,0,0,0,0,1.068,0.869,0.745,2.524,2.757,1.562,0.394,1.516,0.943,2.383,2.187,1.882,1,KU_047
25234,condominium/apartment,petaling,96.0,96.0,2024,2,1,4375.0,2,5,4,0,1,1,84257,79283,163540,0.996,0.823,1.536,2.681,2.651,0.82,0.797,0.506,1.356,2.599,2.237,1.295,1,PE_065
59610,low-cost flat,klang,61.0,61.0,2024,0,1,2295.08,0,1,0,0,0,0,0,0,0,1.489,1.161,2.914,7.696,4.6,8.131,1.442,1.161,2.919,7.479,4.612,8.404,0,KL_055
29634,2 - 2 1/2 storey terraced,petaling,125.0,108.69,2024,0,0,4600.24,1,0,7,17,0,0,0,0,0,0.595,4.043,1.374,0.389,5.875,1.574,0.894,3.873,1.38,0.389,6.404,1.617,1,PE_063
62374,2 - 2 1/2 storey terraced,kuala langat,185.0,150.0,2024,0,0,3000.0,0,3,0,0,0,0,0,0,0,2.132,0.377,7.084,4.758,2.619,13.465,2.087,0.375,10.282,2.483,2.262,24.44,0,KU_008
5966,2 - 2 1/2 storey terraced,kuala lumpur,117.0,99.0,2023,0,0,6565.66,2,10,0,6,2,1,185758,167621,353379,0.698,0.581,1.819,1.139,1.635,1.589,7.322,7.566,16.23,9.981,11.01,16.369,1,KU_042
17814,2 - 2 1/2 storey terraced,petaling,247.0,130.0,2023,0,0,11600.0,3,2,5,0,0,1,87733,78639,166372,0.726,0.965,1.185,3.87,2.644,1.658,0.624,1.193,1.184,4.151,2.846,3.698,1,PE_076
21906,condominium/apartment,petaling,79.15,79.15,2024,16,0,2021.48,1,1,6,2,1,2,151760,149866,301626,0.194,1.464,0.782,1.183,1.328,0.776,7.322,7.903,16.23,11.976,12.97,18.926,1,PE_062
11212,flat,petaling,84.0,84.0,2023,12,0,4642.86,7,6,5,1,1,2,56908,56679,113587,0.401,1.176,0.962,1.691,1.662,0.356,0.5,1.186,1.133,1.964,2.3,0.711,1,PE_062
5491,2 - 2 1/2 storey terraced,kuala lumpur,176.0,133.0,2023,0,1,5187.97,7,7,6,3,0,2,0,65930,65930,0.54,0.632,1.202,0.897,2.549,1.124,0.654,0.872,0.979,1.567,2.69,1.434,1,KU_046
45523,2 - 2 1/2 storey terraced,kuala langat,165.0,153.0,2023,0,1,3104.58,0,1,1,4,0,0,0,0,0,4.471,0.335,2.255,1.682,7.09,13.465,4.302,0.151,2.317,1.682,6.262,24.44,0,KU_008
68486,condominium/apartment,kuala lumpur,27.7,27.7,2023,6,1,122021.66,7,6,6,8,0,0,0,0,0,0.926,0.29,1.025,0.076,3.873,5.733,0.013,0.679,0.936,0.0,5.761,5.755,0,KU_115
31573,condominium/apartment,kuala lumpur,10.6,10.6,2024,16,0,28301.89,4,10,2,0,1,0,0,0,0,0.937,0.669,0.573,2.85,1.632,1.695,1.275,0.598,0.515,2.798,1.91,1.56,1,KU_048
45970,2 - 2 1/2 storey terraced,kuala selangor,146.0,121.0,2023,0,0,3966.94,2,0,6,0,0,0,0,0,0,2.492,2.651,0.227,8.868,23.5,21.0,2.465,2.893,0.256,8.638,23.873,21.0,0,KU_078
14409,low-cost flat,kuala lumpur,7.5,7.5,2024,1,1,26666.67,3,4,7,1,0,1,213374,188636,402010,0.376,0.446,0.303,3.137,3.636,1.63,0.384,0.439,0.768,3.636,3.959,1.975,1,KU_043
7022,low-cost flat,petaling,55.0,55.0,2024,1,0,3818.18,6,5,9,1,0,2,180734,169624,350358,0.343,0.828,0.337,3.05,3.423,0.794,0.236,1.137,0.337,3.598,3.497,0.781,1,PE_067
52381,condominium/apartment,petaling,76.0,76.0,2023,10,1,4868.42,3,2,5,0,0,0,0,0,0,0.814,0.863,0.718,9.11,6.172,9.501,1.443,0.805,0.962,10.357,5.845,10.95,0,PE_014
35277,condominium/apartment,kuala lumpur,14.6,14.6,2024,7,1,41095.89,1,6,2,7,0,0,0,0,0,1.44,1.664,0.909,0.904,2.231,4.682,2.621,1.289,2.77,0.811,4.67,5.445,1,KU_032
47237,2 - 2 1/2 storey terraced,hulu selangor,121.0,120.77,2023,0,1,3312.08,0,0,0,1,0,0,0,0,0,3.323,3.6,2.77,2.878,6.772,21.0,3.612,4.823,2.8,5.178,7.241,28.143,0,HU_046
67615,town house,gombak,69.0,69.0,2024,1,0,4637.68,0,0,0,14,0,0,0,0,0,4.339,2.55,1.835,0.766,3.597,17.433,4.666,1.581,1.405,0.778,4.783,16.654,0,GO_005
32855,condominium/apartment,kuala lumpur,11.6,11.6,2024,9,0,52155.17,4,8,3,1,1,0,0,0,0,0.193,0.517,0.397,1.933,2.498,3.543,0.298,0.186,0.218,2.988,4.167,4.269,1,KU_040
6995,low-cost flat,petaling,55.0,55.0,2023,2,0,3272.73,1,5,7,0,2,0,0,0,0,0.284,0.918,0.128,4.511,1.411,3.608,0.272,1.284,0.128,4.709,1.307,4.348,1,PE_078
62617,2 - 2 1/2 storey terraced,kuala selangor,221.0,121.0,2024,0,1,5834.71,0,0,1,1,0,0,0,0,0,2.944,3.859,0.568,4.215,9.814,21.0,3.566,4.508,1.137,10.239,11.059,21.0,0,KU_073
42300,2 - 2 1/2 storey terraced,gombak,133.0,121.0,2023,0,1,3553.72,0,2,7,0,1,0,0,0,0,2.166,0.939,0.881,2.459,1.698,20.723,2.53,0.317,0.917,2.312,1.264,30.038,0,GO_004
43273,2 - 2 1/2 storey terraced,hulu langat,372.0,136.0,2023,0,1,6066.18,1,1,0,1,1,0,0,0,0,1.315,1.408,3.149,4.412,2.668,14.803,0.473,0.906,3.556,5.102,3.273,15.102,0,HU_038
36068,condominium/apartment,kuala lumpur,17.6,17.6,2023,14,1,41477.27,8,3,4,0,0,0,0,0,0,0.323,0.734,0.248,4.218,1.657,1.724,0.445,0.522,0.175,3.228,3.256,2.81,1,KU_031
46957,1 - 1 1/2 storey terraced,hulu selangor,166.48,111.0,2023,0,1,2702.7,0,2,0,3,0,0,0,0,0,2.323,2.492,8.224,0.473,7.599,21.0,1.953,2.267,8.431,0.473,3.369,28.143,0,HU_046
1931,condominium/apartment,petaling,74.0,74.0,2024,9,0,6081.08,5,3,7,0,0,1,161641,145857,307498,0.353,1.101,0.59,3.343,1.666,0.608,0.0,1.953,1.375,3.69,2.612,1.442,1,PE_070
34002,condominium/apartment,kuala lumpur,12.6,12.6,2023,51,1,261666.67,4,5,5,3,0,7,1113982,1291608,2405590,0.668,0.917,0.731,1.083,2.236,0.535,0.604,1.223,0.977,0.97,2.464,0.854,1,KU_044
25415,2 - 2 1/2 storey terraced,petaling,187.0,122.0,2023,0,1,6229.51,3,1,8,1,0,1,0,0,0,0.524,1.286,0.698,3.618,2.683,1.656,0.525,1.192,0.664,4.617,3.204,1.906,1,PE_071
18045,condominium/apartment,kuala lumpur,8.4,8.4,2025,5,1,41071.43,6,11,7,12,1,0,0,0,0,0.5,0.214,0.669,0.534,1.263,3.444,0.501,0.275,0.851,0.521,1.192,3.688,1,KU_032
37798,condominium/apartment,kuala lumpur,26.0,26.0,2024,13,1,145153.85,3,13,4,1,2,2,142636,136093,278729,0.45,0.817,0.929,2.108,1.226,1.062,0.446,0.645,0.823,2.005,0.863,1.358,1,KU_033
53528,condominium/apartment,petaling,88.0,88.0,2024,8,1,4090.91,2,0,4,0,2,0,0,0,0,0.708,3.523,0.838,4.888,1.551,10.277,0.134,3.431,0.0,6.187,1.092,10.988,0,PE_014
14183,low-cost flat,petaling,61.0,61.0,2023,2,1,2508.2,2,2,4,1,1,0,0,0,0,0.236,0.715,0.262,2.221,4.085,4.415,0.184,0.258,0.0,2.185,4.832,4.806,1,PE_069
9351,condominium/apartment,petaling,85.0,85.0,2023,1,0,3294.12,9,5,6,2,0,0,0,0,0,0.355,0.613,1.506,3.356,4.266,3.855,0.356,0.622,1.351,5.105,4.293,3.846,1,PE_074
19383,low-cost house,klang,88.0,78.04,2023,0,1,3139.42,1,0,0,5,0,0,0,0,0,1.56,1.628,1.632,0.765,4.377,4.915,1.682,1.601,1.578,0.412,4.661,5.571,1,KL_026
9267,condominium/apartment,petaling,76.17,76.17,2023,3,0,3807.27,9,9,4,1,0,0,0,0,0,0.0,0.457,1.013,1.662,3.473,3.989,0.0,0.488,1.075,3.12,3.742,2.956,1,PE_074
31187,condominium/apartment,kuala lumpur,10.4,10.4,2023,7,1,33173.08,2,4,2,7,0,0,0,0,0,1.528,1.739,1.158,1.092,2.44,4.88,2.902,1.57,3.05,1.092,4.951,5.726,1,KU_032
16222,condominium/apartment,petaling,74.0,74.0,2024,3,0,4189.19,7,3,3,3,0,0,0,0,0,0.533,0.249,1.362,1.253,1.824,1.297,0.387,0.323,1.224,1.582,1.884,2.582,1,PE_070
12233,flat,hulu langat,62.0,62.0,2024,2,0,3225.81,7,4,7,3,0,2,195749,175373,371122,0.854,1.159,0.788,2.258,6.15,0.444,1.394,1.848,1.056,2.311,6.245,1.784,1,HU_012
